Course_Number,Course_Name,Prerequisites,2025 A,2025 B,2024 A,2024 B,2023 A,2023 B,2022 A,2022 B
סרוקה רפסמ,שם הקורס,דרישת קדם,,,,,,,,
68110003,ניהול צוות עובדים,68110043 68110042,83.57,Label Not Found,86.82,Label Not Found,,,,
68110007,לחץ ושחיקה בעבודה,68110043 68110042,85.5,Label Not Found,88.51,Label Not Found,,,,
68110052,יצירתיות וחדשנות בשיווק בפתרון בעיות,68112041,Label Not Found,86.78,Label Not Found,86.7,,,,
68110002,ניהול משא ומתן,68113041,86.27,Label Not Found,90.62,Label Not Found,,,,
68110115,פסיכולוגיה חיובית בעולם העבודה,68110043 68110042,Label Not Found,88.91,Label Not Found,93.11,,,,
68110149,שוק ההון בישראל,אין,Label Not Found,83.04,Label Not Found,79.77,,,,
68110229,כלים להבנת שוק העבודה הישראלי,אין,Label Not Found,Label Not Found,87.24,Label Not Found,,,,
68110252,יזמות והייטק,68112061 68112041 68110043 68110042,Label Not Found,83.69,Label Not Found,83.9,,,,
סרוקה רפסמ,שם הקורס,דרישת קדם,,,,,,,,
68110257/357,קורס התמחויות )קורס שנתי(,אין,,,,,,,,
90010063,בעיות הנדסיות וניהוליות- ניתוח אירוע,15311051 68112041,Label Not Found,Label Not Found,Label Not Found,Label Not Found,,,,
61050008,תכניות קנדה בניהול בינלאומי )פתוח לשנה ב' בלבד(,תלמידי שנה ב,Label Not Found,93.0,Label Not Found,91.5,,,,
68110255,ממשק אדם- מכונה,68110042,91.6,Label Not Found,91.86,Label Not Found,,,,
68110275,"באנגלית( הסיפור שמאחורי המספרים, יישומים פרקטיים )סדנה",68110279 68110042 68115041 68115061,88.27,Label Not Found,88.31,Label Not Found,,,,
68110276,פתרון בעיות ניהוליות באקסל וב-R,68110279 68110036,Label Not Found,Label Not Found,Label Not Found,Label Not Found,,,,
68110259,קבלת החלטות ותמריצים בתחרויות וספורט,68110036,Label Not Found,84.56,Label Not Found,83.88,,,,
68110272,"יצירתיות, מיתוג ואמנות בניהול",אין,Label Not Found,98.1,Label Not Found,94.68,,,,
68110281,סדנא בתקשורת בינאישית,אין,92.14,89.1,91.44,88.71,,,,
68110283,ניהול משברי תקשורת,אין,Label Not Found,Label Not Found,Label Not Found,Label Not Found,,,,
68110290,מערכת הפנסיה בישראל,68112061,80.55,Label Not Found,84.09,Label Not Found,,,,
68113071,מנהל ומדיניות ציבורית,אין,Label Not Found,87.04,Label Not Found,87.5,,,,
68110295,"מבוא לסחר בינ""ל",אין,Label Not Found,85.18,Label Not Found,83.89,,,,
68110288,יזמות חברה וסביבה,אין,88.44,Label Not Found,Label Not Found,85.29,,,,
68110296,לחסן את העסק - התמודדות עם משברים במגזר העסקי,",68112041 ,68110042 68112061",92.64,Label Not Found,89.58,91.07,,,,
68114061,אנגלית עסקית,15311051,Label Not Found,96.41,Label Not Found,93.85,,,,
68110304,יזמות חברתית: הבניית הארגון ליצירת השפעה חברתית,אין,Label Not Found,94.04,Label Not Found,91.76,,,,
68110298,השקעות ושוק ההון הלכה למעשה,68112061,92.0,Label Not Found,Label Not Found,Label Not Found,,,,
68110303,ניהול קריירה ארגונית ואישית,68110042,Label Not Found,87.76,Label Not Found,87.93,,,,
